val,key,Volunteer,Internship
Police Accountability,1883,16%,17%
College Affordability,1513,17%,17%
Fair Wages / Access to Employment,974,16%,15%
Mental Health,959,15%,14%
K-12 Education Equity,890,17%,16%
Marijuana Decriminalization,707,16%,21%
Voting Rights,641,17%,12%
South Side Trauma Center,599,17%,17%
Transit Justice,492,15%,15%
